index,treatment_area,dedicated_dept,QI,year,university_hospital,case_volume,number_beds_total,hospital_type,ik_site_number
260100637.1,Dummy,0,3.0,2015,1,3,0,2,260100637.1
260102230,Dummy,1,2.0,2015,1,0,3,1,260102230
260310469,Dummy,0,3.0,2015,0,0,2,2,260310469
260310733,Dummy,1,3.0,2015,1,2,1,3,260310733
260320303,Dummy,1,0.0,2015,0,1,3,1,260320303
260321521-00,Dummy,1,2.0,2015,1,1,3,1,260321521-00
260330123-00,Dummy,1,2.0,2015,0,2,1,1,260330123-00
260330190,Dummy,0,1.0,2015,0,0,1,3,260330190
260340385.1,Dummy,1,1.0,2015,0,3,0,2,260340385.1
260340535.1,Dummy,0,3.0,2015,0,0,1,3,260340535.1
260340568,Dummy,0,1.0,2015,1,1,1,3,260340568
260340717,Dummy,1,1.0,2015,1,1,3,3,260340717
260340795-00,Dummy,0,3.0,2015,1,2,0,3,260340795-00
260342183-00,Dummy,1,1.0,2015,1,2,2,2,260342183-00
260400026,Dummy,0,1.0,2015,1,0,2,3,260400026
260510666-02,Dummy,0,3.0,2015,0,3,1,1,260510666-02
260511031,Dummy,1,0.0,2015,0,3,2,3,260511031
260511111.1,Dummy,1,2.0,2015,0,2,3,1,260511111.1
260530216.1,Dummy,1,0.0,2015,1,0,2,2,260530216.1
260530591,Dummy,0,3.0,2015,0,2,0,1,260530591
260530637,Dummy,0,2.0,2015,1,3,0,1,260530637
260530886.1,Dummy,1,2.0,2015,0,0,3,1,260530886.1
260530988-00,Dummy,1,2.0,2015,0,3,1,2,260530988-00
260531148-00,Dummy,0,1.0,2015,0,2,3,3,260531148-00
260531661.1,Dummy,0,1.0,2015,0,1,1,3,260531661.1
260550277-00,Dummy,0,1.0,2015,1,2,3,3,260550277-00
260570306,Dummy,0,3.0,2015,0,3,3,3,260570306
260570486-02,Dummy,1,2.0,2015,1,3,0,3,260570486-02
260570486.1,Dummy,0,1.0,2015,1,2,1,2,260570486.1
260590322,Dummy,0,0.0,2015,1,3,0,1,260590322
260590583.1,Dummy,1,0.0,2015,1,3,0,1,260590583.1
260590652,Dummy,1,3.0,2015,1,1,2,1,260590652
260590903.1,Dummy,0,3.0,2015,0,1,0,2,260590903.1
260590936,Dummy,0,0.0,2015,0,1,1,1,260590936
260591389.1,Dummy,0,1.0,2015,0,2,1,1,260591389.1
260591562,Dummy,1,2.0,2015,1,0,2,2,260591562
260593018-00,Dummy,1,0.0,2015,0,0,1,3,260593018-00
260610576,Dummy,1,1.0,2015,1,0,0,3,260610576
260611613,Dummy,0,0.0,2015,0,0,3,2,260611613
260611613_1,Dummy,1,3.0,2015,0,1,2,1,260611613
260611668.1,Dummy,1,0.0,2015,0,1,1,1,260611668.1
260611862-00,Dummy,0,2.0,2015,0,3,1,3,260611862-00
260641243,Dummy,0,2.0,2015,0,0,0,3,260641243
260660862,Dummy,0,1.0,2015,1,1,3,2,260660862
260710327,Dummy,1,0.0,2015,0,1,1,3,260710327
260710394.1,Dummy,1,2.0,2015,0,2,0,3,260710394.1
260710873.1,Dummy,0,3.0,2015,1,1,3,1,260710873.1
260711077-00,Dummy,0,0.0,2015,1,3,3,3,260711077-00
260711863.1,Dummy,1,0.0,2015,0,2,0,1,260711863.1
