index,treatment_area,dedicated_dept,QI,year,university_hospital,case_volume,number_beds_total,hospital_type,ik_site_number
260100637.1,Dummy,0,8.771660322624593,2015,1,96,13,clinic,260100637.1
260102230,Dummy,1,6.014370464578337,2015,1,12,83,private,260102230
260310469,Dummy,0,7.866281886639182,2015,0,18,59,clinic,260310469
260310733,Dummy,1,7.924546155486495,2015,1,62,46,public,260310733
260320303,Dummy,1,1.783880316980845,2015,0,34,87,private,260320303
260321521-00,Dummy,1,6.312826474007011,2015,1,43,83,private,260321521-00
260330123-00,Dummy,1,7.293032369244225,2015,0,64,43,private,260330123-00
260330190,Dummy,0,4.878750550099237,2015,0,23,47,public,260330190
260340385.1,Dummy,1,4.924435709552553,2015,0,86,24,clinic,260340385.1
260340535.1,Dummy,0,7.464475898093309,2015,0,17,34,public,260340535.1
260340568,Dummy,0,3.360009127925963,2015,1,55,41,public,260340568
260340717,Dummy,1,2.540280207176013,2015,1,50,74,public,260340717
260340795-00,Dummy,0,9.670969038329435,2015,1,76,26,public,260340795-00
260342183-00,Dummy,1,3.946225376840106,2015,1,76,65,clinic,260342183-00
260400026,Dummy,0,4.259952810632579,2015,1,31,66,public,260400026
260510666-02,Dummy,0,9.914445165456113,2015,0,85,35,private,260510666-02
260511031,Dummy,1,0.914856248175131,2015,0,88,56,public,260511031
260511111.1,Dummy,1,6.378466043183439,2015,0,61,79,private,260511111.1
260530216.1,Dummy,1,2.056021651627074,2015,1,14,67,clinic,260530216.1
260530591,Dummy,0,7.931517139315222,2015,0,62,21,private,260530591
260530637,Dummy,0,5.613893389278858,2015,1,93,11,private,260530637
260530886.1,Dummy,1,6.405772368656385,2015,0,9,78,private,260530886.1
260530988-00,Dummy,1,7.043819732839759,2015,0,98,31,clinic,260530988-00
260531148-00,Dummy,0,4.876360760712601,2015,0,71,83,public,260531148-00
260531661.1,Dummy,0,4.54223189692589,2015,0,43,38,public,260531661.1
260550277-00,Dummy,0,3.040009807884716,2015,1,75,88,public,260550277-00
260570306,Dummy,0,9.625277528662597,2015,0,80,73,public,260570306
260570486-02,Dummy,1,6.79235921434307,2015,1,86,10,public,260570486-02
260570486.1,Dummy,0,4.009263216267293,2015,1,73,50,clinic,260570486.1
260590322,Dummy,0,1.039236560070711,2015,1,89,23,private,260590322
260590583.1,Dummy,1,1.776108967831275,2015,1,87,6,private,260590583.1
